"filename", "language", "Dart", "comment", "blank", "total"
"g:\SwiftProjects\multivendor_store\lib\manager\get-all-products\get_all_products_event.dart", "Dart", 4, 0, 3, 7
"g:\SwiftProjects\multivendor_store\lib\manager\get-all-products\get_all_products_state.dart", "Dart", 13, 0, 8, 21
"g:\SwiftProjects\multivendor_store\lib\manager\has-size-cubit\has_size_cubit.dart", "Dart", 8, 0, 3, 11
"g:\SwiftProjects\multivendor_store\lib\manager\language_bloc\language_localization_bloc.dart", "Dart", 45, 0, 2, 47
"g:\SwiftProjects\multivendor_store\lib\manager\language_bloc\language_localization_event.dart", "Dart", 6, 0, 6, 12
"g:\SwiftProjects\multivendor_store\lib\manager\language_bloc\language_localization_state.dart", "Dart", 7, 0, 5, 12
"g:\SwiftProjects\multivendor_store\lib\manager\register-store\register_store_bloc.dart", "Dart", 85, 3, 14, 102
"g:\SwiftProjects\multivendor_store\lib\manager\register-store\register_store_event.dart", "Dart", 19, 0, 4, 23
"g:\SwiftProjects\multivendor_store\lib\manager\register-store\register_store_state.dart", "Dart", 15, 0, 8, 23
"g:\SwiftProjects\multivendor_store\lib\manager\route-cubit\route_cubit.dart", "Dart", 15, 0, 5, 20
"g:\SwiftProjects\multivendor_store\lib\manager\store-product\store_product_bloc.dart", "Dart", 176, 19, 21, 216
"g:\SwiftProjects\multivendor_store\lib\manager\store-product\store_product_event.dart", "Dart", 31, 0, 10, 41
"g:\SwiftProjects\multivendor_store\lib\manager\store-product\store_product_state.dart", "Dart", 14, 0, 9, 23
"g:\SwiftProjects\multivendor_store\lib\manager\sub-cateogory-dropdown-bloc\sub_category_drop_down_cubit.dart", "Dart", 8, 0, 3, 11
"g:\SwiftProjects\multivendor_store\lib\manager\theme-bloc\theme_state.dart", "Dart", 15, 0, 5, 20
"Total", "-", 6244, 410, 633, 7287
